accuracy,alpha,batch_neg,batch_pos,embed_dim,hidden_dim,learning_rate,train_size,trial
0.472,1e-05,446,458,2,2,0.0001,904,15
0.472,1e-05,489,515,2,2,0.0001,1004,15
0.472,1e-05,541,563,2,2,0.0001,1104,15
0.472,1e-05,587,617,2,2,0.0001,1204,15
0.472,1e-05,638,666,2,2,0.0001,1304,15
0.472,1e-05,691,713,2,2,0.0001,1404,15
0.472,1e-05,738,766,2,2,0.0001,1504,15
0.472,1e-05,789,815,2,2,0.0001,1604,15
0.472,1e-05,831,873,2,2,0.0001,1704,15
0.472,1e-05,887,917,2,2,0.0001,1804,15
0.472,1e-05,935,969,2,2,0.0001,1904,15
0.472,1e-05,987,1017,2,2,0.0001,2004,15
0.52,1e-05,49,55,2,2,0.0001,104,16
0.52,1e-05,102,102,2,2,0.0001,204,16
0.518,1e-05,150,154,2,2,0.0001,304,16
0.518,1e-05,201,203,2,2,0.0001,404,16
0.518,1e-05,252,252,2,2,0.0001,504,16
0.518,1e-05,305,299,2,2,0.0001,604,16
0.518,1e-05,353,351,2,2,0.0001,704,16
0.518,1e-05,410,394,2,2,0.0001,804,16
0.518,1e-05,465,439,2,2,0.0001,904,16
0.518,1e-05,516,488,2,2,0.0001,1004,16
0.518,1e-05,558,546,2,2,0.0001,1104,16
0.518,1e-05,611,593,2,2,0.0001,1204,16
0.518,1e-05,655,649,2,2,0.0001,1304,16
0.522,1e-05,712,692,2,2,0.0001,1404,16
0.524,1e-05,762,742,2,2,0.0001,1504,16
0.524,1e-05,813,791,2,2,0.0001,1604,16
0.524,1e-05,867,837,2,2,0.0001,1704,16
0.524,1e-05,917,887,2,2,0.0001,1804,16
0.526,1e-05,970,934,2,2,0.0001,1904,16
0.526,1e-05,1009,995,2,2,0.0001,2004,16
0.486,1e-05,47,57,2,2,0.0001,104,17
0.486,1e-05,99,105,2,2,0.0001,204,17
0.486,1e-05,148,156,2,2,0.0001,304,17
0.486,1e-05,206,198,2,2,0.0001,404,17
0.486,1e-05,262,242,2,2,0.0001,504,17
0.486,1e-05,312,292,2,2,0.0001,604,17
0.486,1e-05,372,332,2,2,0.0001,704,17
0.486,1e-05,436,368,2,2,0.0001,804,17
0.486,1e-05,474,430,2,2,0.0001,904,17
0.486,1e-05,518,486,2,2,0.0001,1004,17
0.486,1e-05,570,534,2,2,0.0001,1104,17
0.486,1e-05,624,580,2,2,0.0001,1204,17
0.486,1e-05,666,638,2,2,0.0001,1304,17
0.486,1e-05,711,693,2,2,0.0001,1404,17
0.486,1e-05,760,744,2,2,0.0001,1504,17
0.486,1e-05,805,799,2,2,0.0001,1604,17
0.486,1e-05,854,850,2,2,0.0001,1704,17
0.486,1e-05,900,904,2,2,0.0001,1804,17
0.486,1e-05,948,956,2,2,0.0001,1904,17
0.486,1e-05,995,1009,2,2,0.0001,2004,17
0.51,1e-05,50,54,2,2,0.0001,104,18
0.51,1e-05,102,102,2,2,0.0001,204,18
0.51,1e-05,147,157,2,2,0.0001,304,18
0.51,1e-05,188,216,2,2,0.0001,404,18
0.51,1e-05,232,272,2,2,0.0001,504,18
0.51,1e-05,292,312,2,2,0.0001,604,18
0.51,1e-05,341,363,2,2,0.0001,704,18
0.51,1e-05,384,420,2,2,0.0001,804,18
0.51,1e-05,435,469,2,2,0.0001,904,18
0.51,1e-05,484,520,2,2,0.0001,1004,18
0.51,1e-05,531,573,2,2,0.0001,1104,18
0.51,1e-05,572,632,2,2,0.0001,1204,18
0.51,1e-05,624,680,2,2,0.0001,1304,18
0.51,1e-05,676,728,2,2,0.0001,1404,18
0.51,1e-05,731,773,2,2,0.0001,1504,18
0.51,1e-05,790,814,2,2,0.0001,1604,18
0.51,1e-05,841,863,2,2,0.0001,1704,18
0.51,1e-05,884,920,2,2,0.0001,1804,18
0.51,1e-05,937,967,2,2,0.0001,1904,18
0.51,1e-05,997,1007,2,2,0.0001,2004,18
0.476,1e-05,51,53,2,2,0.0001,104,19
0.476,1e-05,116,88,2,2,0.0001,204,19
0.476,1e-05,158,146,2,2,0.0001,304,19
0.476,1e-05,209,195,2,2,0.0001,404,19
0.476,1e-05,256,248,2,2,0.0001,504,19
0.476,1e-05,302,302,2,2,0.0001,604,19
0.476,1e-05,353,351,2,2,0.0001,704,19
0.476,1e-05,405,399,2,2,0.0001,804,19
0.476,1e-05,455,449,2,2,0.0001,904,19
0.476,1e-05,504,500,2,2,0.0001,1004,19
0.476,1e-05,559,545,2,2,0.0001,1104,19
0.476,1e-05,611,593,2,2,0.0001,1204,19
0.476,1e-05,665,639,2,2,0.0001,1304,19
0.476,1e-05,707,697,2,2,0.0001,1404,19
0.476,1e-05,757,747,2,2,0.0001,1504,19
0.476,1e-05,808,796,2,2,0.0001,1604,19
0.476,1e-05,859,845,2,2,0.0001,1704,19
