accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.68,0.0001,460,444,25,10,0.999,50,0.01,1,10,10,904,9
0.714,0.0001,509,495,25,10,0.999,50,0.01,1,10,10,1004,9
0.784,0.0001,553,551,25,10,0.999,50,0.01,1,10,10,1104,9
0.846,0.0001,606,598,25,10,0.999,50,0.01,1,10,10,1204,9
0.906,0.0001,647,657,25,10,0.999,50,0.01,1,10,10,1304,9
0.934,0.0001,703,701,25,10,0.999,50,0.01,1,10,10,1404,9
0.948,0.0001,745,759,25,10,0.999,50,0.01,1,10,10,1504,9
0.956,0.0001,791,813,25,10,0.999,50,0.01,1,10,10,1604,9
0.96,0.0001,836,868,25,10,0.999,50,0.01,1,10,10,1704,9
0.962,0.0001,885,919,25,10,0.999,50,0.01,1,10,10,1804,9
0.976,0.0001,932,972,25,10,0.999,50,0.01,1,10,10,1904,9
0.548,0.0001,0,0,25,10,0.998,50,0.01,1,10,10,0,10
0.606,0.0001,55,49,25,10,0.998,50,0.01,1,10,10,104,10
0.516,0.0001,104,100,25,10,0.998,50,0.01,1,10,10,204,10
0.588,0.0001,158,146,25,10,0.998,50,0.01,1,10,10,304,10
0.634,0.0001,205,199,25,10,0.998,50,0.01,1,10,10,404,10
0.696,0.0001,254,250,25,10,0.998,50,0.01,1,10,10,504,10
0.746,0.0001,306,298,25,10,0.998,50,0.01,1,10,10,604,10
0.782,0.0001,360,344,25,10,0.998,50,0.01,1,10,10,704,10
0.838,0.0001,408,396,25,10,0.998,50,0.01,1,10,10,804,10
0.89,0.0001,449,455,25,10,0.998,50,0.01,1,10,10,904,10
0.916,0.0001,499,505,25,10,0.998,50,0.01,1,10,10,1004,10
0.928,0.0001,541,563,25,10,0.998,50,0.01,1,10,10,1104,10
0.942,0.0001,592,612,25,10,0.998,50,0.01,1,10,10,1204,10
0.96,0.0001,642,662,25,10,0.998,50,0.01,1,10,10,1304,10
0.96,0.0001,686,718,25,10,0.998,50,0.01,1,10,10,1404,10
0.97,0.0001,734,770,25,10,0.998,50,0.01,1,10,10,1504,10
0.972,0.0001,789,815,25,10,0.998,50,0.01,1,10,10,1604,10
0.97,0.0001,839,865,25,10,0.998,50,0.01,1,10,10,1704,10
0.97,0.0001,892,912,25,10,0.998,50,0.01,1,10,10,1804,10
0.974,0.0001,936,968,25,10,0.998,50,0.01,1,10,10,1904,10
0.544,0.0001,0,0,25,10,0.998,50,0.01,1,10,10,0,11
0.58,0.0001,53,51,25,10,0.998,50,0.01,1,10,10,104,11
0.476,0.0001,103,101,25,10,0.998,50,0.01,1,10,10,204,11
0.598,0.0001,144,160,25,10,0.998,50,0.01,1,10,10,304,11
0.592,0.0001,194,210,25,10,0.998,50,0.01,1,10,10,404,11
0.578,0.0001,244,260,25,10,0.998,50,0.01,1,10,10,504,11
0.636,0.0001,299,305,25,10,0.998,50,0.01,1,10,10,604,11
0.67,0.0001,346,358,25,10,0.998,50,0.01,1,10,10,704,11
0.72,0.0001,388,416,25,10,0.998,50,0.01,1,10,10,804,11
0.736,0.0001,432,472,25,10,0.998,50,0.01,1,10,10,904,11
0.798,0.0001,481,523,25,10,0.998,50,0.01,1,10,10,1004,11
0.83,0.0001,534,570,25,10,0.998,50,0.01,1,10,10,1104,11
0.868,0.0001,573,631,25,10,0.998,50,0.01,1,10,10,1204,11
0.91,0.0001,623,681,25,10,0.998,50,0.01,1,10,10,1304,11
0.934,0.0001,682,722,25,10,0.998,50,0.01,1,10,10,1404,11
0.948,0.0001,734,770,25,10,0.998,50,0.01,1,10,10,1504,11
0.956,0.0001,784,820,25,10,0.998,50,0.01,1,10,10,1604,11
0.964,0.0001,832,872,25,10,0.998,50,0.01,1,10,10,1704,11
0.966,0.0001,882,922,25,10,0.998,50,0.01,1,10,10,1804,11
0.964,0.0001,936,968,25,10,0.998,50,0.01,1,10,10,1904,11
0.502,0.0001,0,0,25,10,0.998,50,0.01,1,10,10,0,12
0.554,0.0001,52,52,25,10,0.998,50,0.01,1,10,10,104,12
0.53,0.0001,96,108,25,10,0.998,50,0.01,1,10,10,204,12
0.59,0.0001,145,159,25,10,0.998,50,0.01,1,10,10,304,12
0.55,0.0001,187,217,25,10,0.998,50,0.01,1,10,10,404,12
0.558,0.0001,232,272,25,10,0.998,50,0.01,1,10,10,504,12
0.552,0.0001,298,306,25,10,0.998,50,0.01,1,10,10,604,12
