trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
12,55104,2,2,1e-05,0.0001,0.5,27704
13,55104,2,2,1e-05,0.0001,0.526,27491
14,55104,2,2,1e-05,0.0001,0.502,27528
15,55104,2,2,1e-05,0.0001,0.5,27501
16,55104,2,2,1e-05,0.0001,0.5,27645
17,55104,2,2,1e-05,0.0001,0.5,27654
18,55104,2,2,1e-05,0.0001,0.5,27656
19,55104,2,2,1e-05,0.0001,0.5,27644
20,55104,2,2,1e-05,0.0001,0.5,27581
1,60104,2,2,1e-05,0.0001,0.5,30040
2,60104,2,2,1e-05,0.0001,0.5,30059
3,60104,2,2,1e-05,0.0001,0.5,29955
4,60104,2,2,1e-05,0.0001,0.5,29959
5,60104,2,2,1e-05,0.0001,0.5,29857
6,60104,2,2,1e-05,0.0001,0.49200000000000005,30231
7,60104,2,2,1e-05,0.0001,0.5,30056
8,60104,2,2,1e-05,0.0001,0.5,30091
9,60104,2,2,1e-05,0.0001,0.5,29932
10,60104,2,2,1e-05,0.0001,0.502,30036
11,60104,2,2,1e-05,0.0001,0.502,30027
12,60104,2,2,1e-05,0.0001,0.5,30167
13,60104,2,2,1e-05,0.0001,0.518,30012
14,60104,2,2,1e-05,0.0001,0.49,30005
15,60104,2,2,1e-05,0.0001,0.5,29914
16,60104,2,2,1e-05,0.0001,0.5,30192
17,60104,2,2,1e-05,0.0001,0.5,30164
18,60104,2,2,1e-05,0.0001,0.5,30234
19,60104,2,2,1e-05,0.0001,0.5,30039
20,60104,2,2,1e-05,0.0001,0.5,30069
1,65104,2,2,1e-05,0.0001,0.5,32534
2,65104,2,2,1e-05,0.0001,0.5,32504
3,65104,2,2,1e-05,0.0001,0.5,32514
4,65104,2,2,1e-05,0.0001,0.5,32438
5,65104,2,2,1e-05,0.0001,0.5,32406
6,65104,2,2,1e-05,0.0001,0.5,32688
7,65104,2,2,1e-05,0.0001,0.5,32594
8,65104,2,2,1e-05,0.0001,0.496,32639
9,65104,2,2,1e-05,0.0001,0.498,32453
10,65104,2,2,1e-05,0.0001,0.49,32505
