trial,embed_dim,hidden_dim,alpha,learning_rate,premack_training,equality_accuracy,premack_accuracy
6,2,2,0.001,0.01,680,0.5625,0.5
6,2,2,0.001,0.01,700,0.5625,0.5
6,2,2,0.001,0.01,720,0.5625,0.5
6,2,2,0.001,0.01,740,0.5625,0.5
6,2,2,0.001,0.01,760,0.5625,0.5
6,2,2,0.001,0.01,780,0.5625,0.5
6,2,2,0.001,0.01,800,0.5625,0.5
6,2,2,0.001,0.01,820,0.5625,0.5
6,2,2,0.001,0.01,840,0.5625,0.5
6,2,2,0.001,0.01,860,0.5625,0.5
6,2,2,0.001,0.01,880,0.5625,0.5
6,2,2,0.001,0.01,900,0.5625,0.5
6,2,2,0.001,0.01,920,0.5625,0.5
6,2,2,0.001,0.01,940,0.5625,0.5
6,2,2,0.001,0.01,960,0.5625,0.5
6,2,2,0.001,0.01,980,0.5625,0.5
7,2,2,0.001,0.01,0,0.726,0.502
7,2,2,0.001,0.01,20,0.726,0.501
7,2,2,0.001,0.01,40,0.726,0.501
7,2,2,0.001,0.01,60,0.726,0.505
7,2,2,0.001,0.01,80,0.726,0.508
7,2,2,0.001,0.01,100,0.726,0.506
7,2,2,0.001,0.01,120,0.726,0.509
7,2,2,0.001,0.01,140,0.726,0.51
7,2,2,0.001,0.01,160,0.726,0.509
7,2,2,0.001,0.01,180,0.726,0.507
7,2,2,0.001,0.01,200,0.726,0.504
7,2,2,0.001,0.01,220,0.726,0.507
7,2,2,0.001,0.01,240,0.726,0.509
7,2,2,0.001,0.01,260,0.726,0.508
7,2,2,0.001,0.01,280,0.726,0.507
7,2,2,0.001,0.01,300,0.726,0.513
7,2,2,0.001,0.01,320,0.726,0.512
7,2,2,0.001,0.01,340,0.726,0.513
7,2,2,0.001,0.01,360,0.726,0.511
7,2,2,0.001,0.01,380,0.726,0.513
7,2,2,0.001,0.01,400,0.726,0.51
7,2,2,0.001,0.01,420,0.726,0.509
7,2,2,0.001,0.01,440,0.726,0.511
7,2,2,0.001,0.01,460,0.726,0.514
7,2,2,0.001,0.01,480,0.726,0.515
7,2,2,0.001,0.01,500,0.726,0.511
7,2,2,0.001,0.01,520,0.726,0.51
7,2,2,0.001,0.01,540,0.726,0.51
7,2,2,0.001,0.01,560,0.726,0.509
7,2,2,0.001,0.01,580,0.726,0.51
7,2,2,0.001,0.01,600,0.726,0.509
7,2,2,0.001,0.01,620,0.726,0.509
7,2,2,0.001,0.01,640,0.726,0.509
7,2,2,0.001,0.01,660,0.726,0.509
7,2,2,0.001,0.01,680,0.726,0.512
7,2,2,0.001,0.01,700,0.726,0.51
7,2,2,0.001,0.01,720,0.726,0.511
7,2,2,0.001,0.01,740,0.726,0.511
7,2,2,0.001,0.01,760,0.726,0.511
7,2,2,0.001,0.01,780,0.726,0.511
7,2,2,0.001,0.01,800,0.726,0.512
7,2,2,0.001,0.01,820,0.726,0.512
7,2,2,0.001,0.01,840,0.726,0.512
7,2,2,0.001,0.01,860,0.726,0.513
7,2,2,0.001,0.01,880,0.726,0.511
7,2,2,0.001,0.01,900,0.726,0.512
7,2,2,0.001,0.01,920,0.726,0.511
7,2,2,0.001,0.01,940,0.726,0.511
7,2,2,0.001,0.01,960,0.726,0.511
7,2,2,0.001,0.01,980,0.726,0.511
8,2,2,0.001,0.01,0,0.6045,0.514
8,2,2,0.001,0.01,20,0.6045,0.512
8,2,2,0.001,0.01,40,0.6045,0.51
8,2,2,0.001,0.01,60,0.6045,0.511
8,2,2,0.001,0.01,80,0.6045,0.511
8,2,2,0.001,0.01,100,0.6045,0.513
8,2,2,0.001,0.01,120,0.6045,0.513
8,2,2,0.001,0.01,140,0.6045,0.511
8,2,2,0.001,0.01,160,0.6045,0.511
8,2,2,0.001,0.01,180,0.6045,0.51
8,2,2,0.001,0.01,200,0.6045,0.512
8,2,2,0.001,0.01,220,0.6045,0.511
8,2,2,0.001,0.01,240,0.6045,0.513
8,2,2,0.001,0.01,260,0.6045,0.513
8,2,2,0.001,0.01,280,0.6045,0.516
8,2,2,0.001,0.01,300,0.6045,0.514
8,2,2,0.001,0.01,320,0.6045,0.511
8,2,2,0.001,0.01,340,0.6045,0.513
8,2,2,0.001,0.01,360,0.6045,0.511
8,2,2,0.001,0.01,380,0.6045,0.513
8,2,2,0.001,0.01,400,0.6045,0.513
8,2,2,0.001,0.01,420,0.6045,0.517
8,2,2,0.001,0.01,440,0.6045,0.514
8,2,2,0.001,0.01,460,0.6045,0.515
8,2,2,0.001,0.01,480,0.6045,0.515
8,2,2,0.001,0.01,500,0.6045,0.515
8,2,2,0.001,0.01,520,0.6045,0.515
8,2,2,0.001,0.01,540,0.6045,0.515
8,2,2,0.001,0.01,560,0.6045,0.508
8,2,2,0.001,0.01,580,0.6045,0.507
8,2,2,0.001,0.01,600,0.6045,0.509
8,2,2,0.001,0.01,620,0.6045,0.509
8,2,2,0.001,0.01,640,0.6045,0.507
8,2,2,0.001,0.01,660,0.6045,0.51
8,2,2,0.001,0.01,680,0.6045,0.512
8,2,2,0.001,0.01,700,0.6045,0.511
8,2,2,0.001,0.01,720,0.6045,0.507
8,2,2,0.001,0.01,740,0.6045,0.508
8,2,2,0.001,0.01,760,0.6045,0.505
8,2,2,0.001,0.01,780,0.6045,0.505
8,2,2,0.001,0.01,800,0.6045,0.5
8,2,2,0.001,0.01,820,0.6045,0.5
8,2,2,0.001,0.01,840,0.6045,0.5
8,2,2,0.001,0.01,860,0.6045,0.5
8,2,2,0.001,0.01,880,0.6045,0.5
8,2,2,0.001,0.01,900,0.6045,0.5
8,2,2,0.001,0.01,920,0.6045,0.5
8,2,2,0.001,0.01,940,0.6045,0.5
8,2,2,0.001,0.01,960,0.6045,0.5
8,2,2,0.001,0.01,980,0.6045,0.5
9,2,2,0.001,0.01,0,0.7315,0.511
9,2,2,0.001,0.01,20,0.7315,0.514
9,2,2,0.001,0.01,40,0.7315,0.51
9,2,2,0.001,0.01,60,0.7315,0.509
9,2,2,0.001,0.01,80,0.7315,0.51
9,2,2,0.001,0.01,100,0.7315,0.51
9,2,2,0.001,0.01,120,0.7315,0.512
9,2,2,0.001,0.01,140,0.7315,0.514
9,2,2,0.001,0.01,160,0.7315,0.519
9,2,2,0.001,0.01,180,0.7315,0.517
9,2,2,0.001,0.01,200,0.7315,0.518
9,2,2,0.001,0.01,220,0.7315,0.519
9,2,2,0.001,0.01,240,0.7315,0.519
9,2,2,0.001,0.01,260,0.7315,0.518
9,2,2,0.001,0.01,280,0.7315,0.514
9,2,2,0.001,0.01,300,0.7315,0.512
9,2,2,0.001,0.01,320,0.7315,0.512
9,2,2,0.001,0.01,340,0.7315,0.513
9,2,2,0.001,0.01,360,0.7315,0.508
9,2,2,0.001,0.01,380,0.7315,0.507
9,2,2,0.001,0.01,400,0.7315,0.506
9,2,2,0.001,0.01,420,0.7315,0.508
9,2,2,0.001,0.01,440,0.7315,0.507
9,2,2,0.001,0.01,460,0.7315,0.502
9,2,2,0.001,0.01,480,0.7315,0.5
9,2,2,0.001,0.01,500,0.7315,0.495
9,2,2,0.001,0.01,520,0.7315,0.496
9,2,2,0.001,0.01,540,0.7315,0.497
9,2,2,0.001,0.01,560,0.7315,0.5
9,2,2,0.001,0.01,580,0.7315,0.505
9,2,2,0.001,0.01,600,0.7315,0.511
9,2,2,0.001,0.01,620,0.7315,0.518
9,2,2,0.001,0.01,640,0.7315,0.525
9,2,2,0.001,0.01,660,0.7315,0.523
9,2,2,0.001,0.01,680,0.7315,0.521
9,2,2,0.001,0.01,700,0.7315,0.526
9,2,2,0.001,0.01,720,0.7315,0.526
9,2,2,0.001,0.01,740,0.7315,0.527
9,2,2,0.001,0.01,760,0.7315,0.527
9,2,2,0.001,0.01,780,0.7315,0.531
9,2,2,0.001,0.01,800,0.7315,0.533
9,2,2,0.001,0.01,820,0.7315,0.533
9,2,2,0.001,0.01,840,0.7315,0.531
9,2,2,0.001,0.01,860,0.7315,0.53
9,2,2,0.001,0.01,880,0.7315,0.531
9,2,2,0.001,0.01,900,0.7315,0.533
9,2,2,0.001,0.01,920,0.7315,0.533
9,2,2,0.001,0.01,940,0.7315,0.533
9,2,2,0.001,0.01,960,0.7315,0.531
9,2,2,0.001,0.01,980,0.7315,0.53
10,2,2,0.001,0.01,0,0.7265,0.508
10,2,2,0.001,0.01,20,0.7265,0.506
10,2,2,0.001,0.01,40,0.7265,0.506
10,2,2,0.001,0.01,60,0.7265,0.501
10,2,2,0.001,0.01,80,0.7265,0.496
10,2,2,0.001,0.01,100,0.7265,0.506
10,2,2,0.001,0.01,120,0.7265,0.511
10,2,2,0.001,0.01,140,0.7265,0.515
10,2,2,0.001,0.01,160,0.7265,0.516
10,2,2,0.001,0.01,180,0.7265,0.514
10,2,2,0.001,0.01,200,0.7265,0.512
10,2,2,0.001,0.01,220,0.7265,0.51
10,2,2,0.001,0.01,240,0.7265,0.503
10,2,2,0.001,0.01,260,0.7265,0.497
10,2,2,0.001,0.01,280,0.7265,0.503
10,2,2,0.001,0.01,300,0.7265,0.508
10,2,2,0.001,0.01,320,0.7265,0.503
10,2,2,0.001,0.01,340,0.7265,0.504
10,2,2,0.001,0.01,360,0.7265,0.502
10,2,2,0.001,0.01,380,0.7265,0.501
10,2,2,0.001,0.01,400,0.7265,0.501
10,2,2,0.001,0.01,420,0.7265,0.501
10,2,2,0.001,0.01,440,0.7265,0.5
10,2,2,0.001,0.01,460,0.7265,0.5
10,2,2,0.001,0.01,480,0.7265,0.5
10,2,2,0.001,0.01,500,0.7265,0.5
10,2,2,0.001,0.01,520,0.7265,0.5
10,2,2,0.001,0.01,540,0.7265,0.5
10,2,2,0.001,0.01,560,0.7265,0.501
10,2,2,0.001,0.01,580,0.7265,0.501
10,2,2,0.001,0.01,600,0.7265,0.501
10,2,2,0.001,0.01,620,0.7265,0.5
10,2,2,0.001,0.01,640,0.7265,0.5
10,2,2,0.001,0.01,660,0.7265,0.5
10,2,2,0.001,0.01,680,0.7265,0.5
10,2,2,0.001,0.01,700,0.7265,0.5
10,2,2,0.001,0.01,720,0.7265,0.5
10,2,2,0.001,0.01,740,0.7265,0.5
10,2,2,0.001,0.01,760,0.7265,0.5
10,2,2,0.001,0.01,780,0.7265,0.5
10,2,2,0.001,0.01,800,0.7265,0.5
10,2,2,0.001,0.01,820,0.7265,0.5
10,2,2,0.001,0.01,840,0.7265,0.5
10,2,2,0.001,0.01,860,0.7265,0.5
10,2,2,0.001,0.01,880,0.7265,0.5
10,2,2,0.001,0.01,900,0.7265,0.5
10,2,2,0.001,0.01,920,0.7265,0.5
10,2,2,0.001,0.01,940,0.7265,0.5
10,2,2,0.001,0.01,960,0.7265,0.5
10,2,2,0.001,0.01,980,0.7265,0.5
11,2,2,0.001,0.01,0,0.7305,0.51
