trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
5,35104,2,2,1e-05,0.0001,0.528,17578
6,35104,2,2,1e-05,0.0001,0.5,17537
7,35104,2,2,1e-05,0.0001,0.5,17688
8,35104,2,2,1e-05,0.0001,0.5,17617
9,35104,2,2,1e-05,0.0001,0.5,17425
10,35104,2,2,1e-05,0.0001,0.5,17549
11,35104,2,2,1e-05,0.0001,0.49,17570
12,35104,2,2,1e-05,0.0001,0.496,17498
13,35104,2,2,1e-05,0.0001,0.5,17504
14,35104,2,2,1e-05,0.0001,0.5,17507
15,35104,2,2,1e-05,0.0001,0.5,17516
16,35104,2,2,1e-05,0.0001,0.5,17630
17,35104,2,2,1e-05,0.0001,0.5,17577
18,35104,2,2,1e-05,0.0001,0.5,17569
19,35104,2,2,1e-05,0.0001,0.502,17552
20,35104,2,2,1e-05,0.0001,0.5579999999999999,17593
1,40104,2,2,1e-05,0.0001,0.47200000000000003,19978
2,40104,2,2,1e-05,0.0001,0.5,20027
3,40104,2,2,1e-05,0.0001,0.43200000000000005,19980
4,40104,2,2,1e-05,0.0001,0.5,20056
5,40104,2,2,1e-05,0.0001,0.536,20027
6,40104,2,2,1e-05,0.0001,0.5,19970
7,40104,2,2,1e-05,0.0001,0.5,20144
8,40104,2,2,1e-05,0.0001,0.5,20110
9,40104,2,2,1e-05,0.0001,0.5,19918
10,40104,2,2,1e-05,0.0001,0.5,20054
11,40104,2,2,1e-05,0.0001,0.488,20074
12,40104,2,2,1e-05,0.0001,0.49,19985
13,40104,2,2,1e-05,0.0001,0.5,19978
14,40104,2,2,1e-05,0.0001,0.5,19985
15,40104,2,2,1e-05,0.0001,0.5,20025
16,40104,2,2,1e-05,0.0001,0.5,20138
17,40104,2,2,1e-05,0.0001,0.5,20012
18,40104,2,2,1e-05,0.0001,0.5,20137
19,40104,2,2,1e-05,0.0001,0.504,20071
20,40104,2,2,1e-05,0.0001,0.562,20161
1,45104,2,2,1e-05,0.0001,0.47200000000000003,22486
2,45104,2,2,1e-05,0.0001,0.5,22544
3,45104,2,2,1e-05,0.0001,0.45399999999999996,22501
4,45104,2,2,1e-05,0.0001,0.5,22486
5,45104,2,2,1e-05,0.0001,0.56,22541
6,45104,2,2,1e-05,0.0001,0.5,22456
7,45104,2,2,1e-05,0.0001,0.5,22647
8,45104,2,2,1e-05,0.0001,0.5,22599
9,45104,2,2,1e-05,0.0001,0.5,22429
10,45104,2,2,1e-05,0.0001,0.5,22512
11,45104,2,2,1e-05,0.0001,0.48200000000000004,22572
12,45104,2,2,1e-05,0.0001,0.514,22493
13,45104,2,2,1e-05,0.0001,0.5,22527
14,45104,2,2,1e-05,0.0001,0.5,22518
15,45104,2,2,1e-05,0.0001,0.5,22537
16,45104,2,2,1e-05,0.0001,0.5,22683
17,45104,2,2,1e-05,0.0001,0.5,22487
18,45104,2,2,1e-05,0.0001,0.5,22665
19,45104,2,2,1e-05,0.0001,0.514,22547
20,45104,2,2,1e-05,0.0001,0.564,22657
1,50104,2,2,1e-05,0.0001,0.47,25022
2,50104,2,2,1e-05,0.0001,0.5,24989
3,50104,2,2,1e-05,0.0001,0.46,24951
4,50104,2,2,1e-05,0.0001,0.5,25006
5,50104,2,2,1e-05,0.0001,0.568,25059
6,50104,2,2,1e-05,0.0001,0.5,24978
7,50104,2,2,1e-05,0.0001,0.5,25060
8,50104,2,2,1e-05,0.0001,0.5,25127
9,50104,2,2,1e-05,0.0001,0.5,24954
10,50104,2,2,1e-05,0.0001,0.5,24974
11,50104,2,2,1e-05,0.0001,0.48200000000000004,25077
12,50104,2,2,1e-05,0.0001,0.512,25027
13,50104,2,2,1e-05,0.0001,0.5,25000
14,50104,2,2,1e-05,0.0001,0.5,25025
15,50104,2,2,1e-05,0.0001,0.5,25051
16,50104,2,2,1e-05,0.0001,0.5,25095
17,50104,2,2,1e-05,0.0001,0.5,24976
18,50104,2,2,1e-05,0.0001,0.5,25188
19,50104,2,2,1e-05,0.0001,0.52,25023
20,50104,2,2,1e-05,0.0001,0.56,25098
1,55104,2,2,1e-05,0.0001,0.478,27519
2,55104,2,2,1e-05,0.0001,0.5,27482
3,55104,2,2,1e-05,0.0001,0.466,27427
4,55104,2,2,1e-05,0.0001,0.504,27452
5,55104,2,2,1e-05,0.0001,0.5660000000000001,27558
6,55104,2,2,1e-05,0.0001,0.5,27452
7,55104,2,2,1e-05,0.0001,0.5,27560
8,55104,2,2,1e-05,0.0001,0.5,27624
9,55104,2,2,1e-05,0.0001,0.5,27454
10,55104,2,2,1e-05,0.0001,0.5,27505
11,55104,2,2,1e-05,0.0001,0.48200000000000004,27568
12,55104,2,2,1e-05,0.0001,0.498,27571
13,55104,2,2,1e-05,0.0001,0.5,27547
14,55104,2,2,1e-05,0.0001,0.5,27473
15,55104,2,2,1e-05,0.0001,0.5,27551
16,55104,2,2,1e-05,0.0001,0.5,27562
17,55104,2,2,1e-05,0.0001,0.5,27449
18,55104,2,2,1e-05,0.0001,0.5,27707
19,55104,2,2,1e-05,0.0001,0.532,27548
20,55104,2,2,1e-05,0.0001,0.564,27614
1,60104,2,2,1e-05,0.0001,0.478,30015
2,60104,2,2,1e-05,0.0001,0.5,30004
3,60104,2,2,1e-05,0.0001,0.46799999999999997,29942
4,60104,2,2,1e-05,0.0001,0.506,29979
5,60104,2,2,1e-05,0.0001,0.57,30122
6,60104,2,2,1e-05,0.0001,0.5,29962
7,60104,2,2,1e-05,0.0001,0.47200000000000003,30057
8,60104,2,2,1e-05,0.0001,0.5,30076
9,60104,2,2,1e-05,0.0001,0.498,29950
10,60104,2,2,1e-05,0.0001,0.5,29993
11,60104,2,2,1e-05,0.0001,0.48200000000000004,30059
12,60104,2,2,1e-05,0.0001,0.506,30102
13,60104,2,2,1e-05,0.0001,0.5,30087
14,60104,2,2,1e-05,0.0001,0.5,29982
15,60104,2,2,1e-05,0.0001,0.5,30065
16,60104,2,2,1e-05,0.0001,0.5,30059
17,60104,2,2,1e-05,0.0001,0.5,29992
18,60104,2,2,1e-05,0.0001,0.5,30215
19,60104,2,2,1e-05,0.0001,0.556,30038
20,60104,2,2,1e-05,0.0001,0.562,30116
1,65104,2,2,1e-05,0.0001,0.48200000000000004,32545
2,65104,2,2,1e-05,0.0001,0.5,32539
3,65104,2,2,1e-05,0.0001,0.45799999999999996,32486
4,65104,2,2,1e-05,0.0001,0.51,32445
5,65104,2,2,1e-05,0.0001,0.564,32566
6,65104,2,2,1e-05,0.0001,0.5,32408
7,65104,2,2,1e-05,0.0001,0.486,32507
8,65104,2,2,1e-05,0.0001,0.5,32568
9,65104,2,2,1e-05,0.0001,0.49,32482
10,65104,2,2,1e-05,0.0001,0.5,32491
11,65104,2,2,1e-05,0.0001,0.48200000000000004,32571
12,65104,2,2,1e-05,0.0001,0.518,32575
13,65104,2,2,1e-05,0.0001,0.5,32633
14,65104,2,2,1e-05,0.0001,0.5,32439
15,65104,2,2,1e-05,0.0001,0.5,32577
16,65104,2,2,1e-05,0.0001,0.5,32533
17,65104,2,2,1e-05,0.0001,0.5,32486
18,65104,2,2,1e-05,0.0001,0.5,32628
19,65104,2,2,1e-05,0.0001,0.574,32501
20,65104,2,2,1e-05,0.0001,0.56,32651
1,70104,2,2,1e-05,0.0001,0.47600000000000003,35001
2,70104,2,2,1e-05,0.0001,0.5,35049
3,70104,2,2,1e-05,0.0001,0.474,34996
4,70104,2,2,1e-05,0.0001,0.518,34994
5,70104,2,2,1e-05,0.0001,0.5920000000000001,35100
6,70104,2,2,1e-05,0.0001,0.5,34967
7,70104,2,2,1e-05,0.0001,0.496,35067
8,70104,2,2,1e-05,0.0001,0.5,35017
9,70104,2,2,1e-05,0.0001,0.484,35002
10,70104,2,2,1e-05,0.0001,0.5,34995
11,70104,2,2,1e-05,0.0001,0.47600000000000003,34999
12,70104,2,2,1e-05,0.0001,0.526,35052
13,70104,2,2,1e-05,0.0001,0.502,35063
14,70104,2,2,1e-05,0.0001,0.5,35014
15,70104,2,2,1e-05,0.0001,0.5,35086
16,70104,2,2,1e-05,0.0001,0.5,35015
17,70104,2,2,1e-05,0.0001,0.5,34952
18,70104,2,2,1e-05,0.0001,0.5,35157
19,70104,2,2,1e-05,0.0001,0.5920000000000001,35008
20,70104,2,2,1e-05,0.0001,0.5760000000000001,35156
1,75104,2,2,1e-05,0.0001,0.486,37552
2,75104,2,2,1e-05,0.0001,0.504,37577
3,75104,2,2,1e-05,0.0001,0.478,37498
4,75104,2,2,1e-05,0.0001,0.516,37493
5,75104,2,2,1e-05,0.0001,0.604,37583
6,75104,2,2,1e-05,0.0001,0.5,37471
7,75104,2,2,1e-05,0.0001,0.506,37526
8,75104,2,2,1e-05,0.0001,0.5,37551
9,75104,2,2,1e-05,0.0001,0.48,37479
10,75104,2,2,1e-05,0.0001,0.5,37497
11,75104,2,2,1e-05,0.0001,0.47600000000000003,37508
12,75104,2,2,1e-05,0.0001,0.536,37554
13,75104,2,2,1e-05,0.0001,0.522,37595
14,75104,2,2,1e-05,0.0001,0.5,37537
15,75104,2,2,1e-05,0.0001,0.5,37604
16,75104,2,2,1e-05,0.0001,0.5,37496
17,75104,2,2,1e-05,0.0001,0.5,37494
18,75104,2,2,1e-05,0.0001,0.5,37629
19,75104,2,2,1e-05,0.0001,0.596,37539
20,75104,2,2,1e-05,0.0001,0.5920000000000001,37656
1,80104,2,2,1e-05,0.0001,0.496,40072
2,80104,2,2,1e-05,0.0001,0.51,40002
3,80104,2,2,1e-05,0.0001,0.48,39968
4,80104,2,2,1e-05,0.0001,0.534,40019
5,80104,2,2,1e-05,0.0001,0.622,40107
6,80104,2,2,1e-05,0.0001,0.49,39988
7,80104,2,2,1e-05,0.0001,0.518,39993
8,80104,2,2,1e-05,0.0001,0.5,40069
9,80104,2,2,1e-05,0.0001,0.48,40028
10,80104,2,2,1e-05,0.0001,0.5,39996
11,80104,2,2,1e-05,0.0001,0.47600000000000003,40015
12,80104,2,2,1e-05,0.0001,0.556,40072
13,80104,2,2,1e-05,0.0001,0.5760000000000001,40081
14,80104,2,2,1e-05,0.0001,0.5,40057
15,80104,2,2,1e-05,0.0001,0.5,40124
16,80104,2,2,1e-05,0.0001,0.5,39962
17,80104,2,2,1e-05,0.0001,0.504,40014
18,80104,2,2,1e-05,0.0001,0.5,40088
19,80104,2,2,1e-05,0.0001,0.612,40036
20,80104,2,2,1e-05,0.0001,0.598,40157
1,85104,2,2,1e-05,0.0001,0.494,42549
2,85104,2,2,1e-05,0.0001,0.516,42534
3,85104,2,2,1e-05,0.0001,0.474,42484
4,85104,2,2,1e-05,0.0001,0.556,42546
5,85104,2,2,1e-05,0.0001,0.628,42582
6,85104,2,2,1e-05,0.0001,0.484,42530
7,85104,2,2,1e-05,0.0001,0.532,42547
8,85104,2,2,1e-05,0.0001,0.5,42612
9,85104,2,2,1e-05,0.0001,0.474,42519
10,85104,2,2,1e-05,0.0001,0.5,42524
11,85104,2,2,1e-05,0.0001,0.47600000000000003,42539
12,85104,2,2,1e-05,0.0001,0.5760000000000001,42598
13,85104,2,2,1e-05,0.0001,0.606,42552
14,85104,2,2,1e-05,0.0001,0.5,42493
15,85104,2,2,1e-05,0.0001,0.5,42590
16,85104,2,2,1e-05,0.0001,0.5,42510
17,85104,2,2,1e-05,0.0001,0.512,42519
18,85104,2,2,1e-05,0.0001,0.5,42638
19,85104,2,2,1e-05,0.0001,0.616,42582
20,85104,2,2,1e-05,0.0001,0.612,42620
1,90104,2,2,1e-05,0.0001,0.5,45074
2,90104,2,2,1e-05,0.0001,0.52,45039
3,90104,2,2,1e-05,0.0001,0.48,44996
4,90104,2,2,1e-05,0.0001,0.562,45024
5,90104,2,2,1e-05,0.0001,0.644,45075
6,90104,2,2,1e-05,0.0001,0.486,45038
7,90104,2,2,1e-05,0.0001,0.53,45074
8,90104,2,2,1e-05,0.0001,0.5,45059
9,90104,2,2,1e-05,0.0001,0.47,45026
10,90104,2,2,1e-05,0.0001,0.5,45006
11,90104,2,2,1e-05,0.0001,0.48,45049
12,90104,2,2,1e-05,0.0001,0.606,45007
13,90104,2,2,1e-05,0.0001,0.594,45032
14,90104,2,2,1e-05,0.0001,0.5,45037
15,90104,2,2,1e-05,0.0001,0.5,45084
16,90104,2,2,1e-05,0.0001,0.5,45036
17,90104,2,2,1e-05,0.0001,0.522,45035
18,90104,2,2,1e-05,0.0001,0.5,45064
19,90104,2,2,1e-05,0.0001,0.63,45077
20,90104,2,2,1e-05,0.0001,0.616,45114
1,95104,2,2,1e-05,0.0001,0.5,47552
2,95104,2,2,1e-05,0.0001,0.524,47552
3,95104,2,2,1e-05,0.0001,0.474,47552
4,95104,2,2,1e-05,0.0001,0.574,47552
5,95104,2,2,1e-05,0.0001,0.6559999999999999,47552
6,95104,2,2,1e-05,0.0001,0.498,47552
7,95104,2,2,1e-05,0.0001,0.5479999999999999,47552
8,95104,2,2,1e-05,0.0001,0.5,47552
9,95104,2,2,1e-05,0.0001,0.48200000000000004,47552
10,95104,2,2,1e-05,0.0001,0.8320000000000001,47552
11,95104,2,2,1e-05,0.0001,0.484,47552
12,95104,2,2,1e-05,0.0001,0.628,47552
13,95104,2,2,1e-05,0.0001,0.552,47552
14,95104,2,2,1e-05,0.0001,0.5,47552
15,95104,2,2,1e-05,0.0001,0.5,47552
16,95104,2,2,1e-05,0.0001,0.5,47552
17,95104,2,2,1e-05,0.0001,0.54,47552
18,95104,2,2,1e-05,0.0001,0.55,47552
19,95104,2,2,1e-05,0.0001,0.642,47552
20,95104,2,2,1e-05,0.0001,0.624,47552
1,4,2,2,1e-05,0.001,0.5,4
2,4,2,2,1e-05,0.001,0.456,4
3,4,2,2,1e-05,0.001,0.556,4
4,4,2,2,1e-05,0.001,0.5,4
5,4,2,2,1e-05,0.001,0.5,4
6,4,2,2,1e-05,0.001,0.514,4
7,4,2,2,1e-05,0.001,0.502,4
8,4,2,2,1e-05,0.001,0.514,4
9,4,2,2,1e-05,0.001,0.5,4
10,4,2,2,1e-05,0.001,0.5,4
11,4,2,2,1e-05,0.001,0.504,4
12,4,2,2,1e-05,0.001,0.5,4
13,4,2,2,1e-05,0.001,0.5,4
14,4,2,2,1e-05,0.001,0.526,4
15,4,2,2,1e-05,0.001,0.5,4
16,4,2,2,1e-05,0.001,0.48200000000000004,4
17,4,2,2,1e-05,0.001,0.5,4
18,4,2,2,1e-05,0.001,0.504,4
19,4,2,2,1e-05,0.001,0.5,4
20,4,2,2,1e-05,0.001,0.5,4
1,40,2,2,1e-05,0.001,0.5,16
2,40,2,2,1e-05,0.001,0.45399999999999996,18
3,40,2,2,1e-05,0.001,0.556,23
4,40,2,2,1e-05,0.001,0.5,20
5,40,2,2,1e-05,0.001,0.5,15
6,40,2,2,1e-05,0.001,0.516,23
7,40,2,2,1e-05,0.001,0.504,22
8,40,2,2,1e-05,0.001,0.516,13
9,40,2,2,1e-05,0.001,0.5,20
